
5 Mot inconnu : ENT => ====== ENT - Triade (gestion scolaire) ====== | ent
92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lecture d'informations en flux RSS |    => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des droits de scolarité |    => suggestions : ['']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vacation des enseignants |    => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pré inscriptions des élèves/étudiants |    => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fiche d.entretien individuel des élèves/étudiants  |    => suggestions : ['']
96 Il manque un espace. =>   * Fiche d.entretien individuel des élèves/étudiants  | entretien => suggestions : [' entretien']
96 Espace(s) en fin de ligne à supprimer. =>   * Fiche d.entretien individuel des élèves/étudiants  |   => suggestions : ['']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'envoi de courriers postaux  |    => suggestions : ['']
97 Espace(s) en fin de ligne à supprimer. =>   * L'envoi de courriers postaux  |   => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des règlements intérieurs  |    => suggestions : ['']
98 Espace(s) en fin de ligne à supprimer. =>   * Gestion des règlements intérieurs  |   => suggestions : ['']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Exportation des données élèves paramétrables |    => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Module B2I |    => suggestions : ['']
100 Mot inconnu : B2I =>   * Module B2I | b2i

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Agent Web interactif |    => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un MSN local à l'établissement scolaire (Intra-MSN) |    => suggestions : ['']
102 Mot inconnu : MSN =>   * Un MSN local à l'établissement scolaire (Intra-MSN) | msn
102 Mot inconnu : Intra-MSN =>   * Un MSN local à l'établissement scolaire (Intra-MSN) | intra-msn

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enregistrement des absences et retards via lecteur code barre  |    => suggestions : ['']
103 Espace(s) en fin de ligne à supprimer. =>   * Enregistrement des absences et retards via lecteur code barre  |   => suggestions : ['']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * E-Learning Dokeos / Moodle (Contenu de cours, de test, de suivi d'étudiant) |    => suggestions : ['']
104 Mot inconnu : Dokeos =>   * E-Learning Dokeos / Moodle (Contenu de cours, de test, de suivi d'étudiant) | dokeos
104 Mot inconnu : Moodle =>   * E-Learning Dokeos / Moodle (Contenu de cours, de test, de suivi d'étudiant) | moodle

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion cantine passage en caisse par code barre, config. des plateaux...  |    => suggestions : ['']
105 Après un point, une majuscule est généralement requise. =>   * Gestion cantine passage en caisse par code barre, config. des plateaux...  | des => suggestions : ['Des']
105 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Gestion cantine passage en caisse par code barre, config. des plateaux...  | ... => suggestions : ['…']
105 Espace(s) en fin de ligne à supprimer. =>   * Gestion cantine passage en caisse par code barre, config. des plateaux...  |   => suggestions : ['']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * WebRadio Universitaire |    => suggestions : ['']
106 Mot inconnu : WebRadio =>   * WebRadio Universitaire | webradio

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... |    => suggestions : ['']
107 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... | ... => suggestions : ['…']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des notes, par classe, par groupe  |    => suggestions : ['']
112 Espace(s) en fin de ligne à supprimer. =>   * Gestion des notes, par classe, par groupe  |   => suggestions : ['']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Suivi des élèves par le professeur principal  |    => suggestions : ['']
113 Espace(s) en fin de ligne à supprimer. =>   * Suivi des élèves par le professeur principal  |   => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Trombinoscope des élèves, enseignants, vie scolaire  |    => suggestions : ['']
114 Espace(s) en fin de ligne à supprimer. =>   * Trombinoscope des élèves, enseignants, vie scolaire  |   => suggestions : ['']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Possibilité de saisir les appréciations des professeurs  |    => suggestions : ['']
115 Espace(s) en fin de ligne à supprimer. =>   * Possibilité de saisir les appréciations des professeurs  |   => suggestions : ['']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Consultation du planning D.S.T  |    => suggestions : ['']
116 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) =>   * Consultation du planning D.S.T  | d.s. => suggestions : ['DS', 'D.\u202fS.']
116 Espace(s) en fin de ligne à supprimer. =>   * Consultation du planning D.S.T  |   => suggestions : ['']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Demande de planification D.S.T |    => suggestions : ['']
117 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) =>   * Demande de planification D.S.T | d.s. => suggestions : ['DS', 'D.\u202fS.']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Consultation des circulaires de la direction |    => suggestions : ['']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des stages pour lycée professionnel  |    => suggestions : ['']
119 Espace(s) en fin de ligne à supprimer. =>   * Gestion des stages pour lycée professionnel  |   => suggestions : ['']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des devoirs scolaires  |    => suggestions : ['']
120 Espace(s) en fin de ligne à supprimer. =>   * Gestion des devoirs scolaires  |   => suggestions : ['']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion du cahier de texte |    => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des retards, absences |    => suggestions : ['']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Saisie des commentaires pour les bulletins trimestriels  |    => suggestions : ['']
123 Espace(s) en fin de ligne à supprimer. =>   * Saisie des commentaires pour les bulletins trimestriels  |   => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Module agenda (Phenix)  |    => suggestions : ['']
124 Mot inconnu : Phenix =>   * Module agenda (Phenix)  | phenix
124 Espace(s) en fin de ligne à supprimer. =>   * Module agenda (Phenix)  |   => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mise à jour du livret de compétences  |    => suggestions : ['']
125 Espace(s) en fin de ligne à supprimer. =>   * Mise à jour du livret de compétences  |   => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Messagerie interne avec enseignants, vie scolaire, parents |    => suggestions : ['']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lecture d'informations en flux RSS |    => suggestions : ['']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Note vie scolaire  |    => suggestions : ['']
128 Espace(s) en fin de ligne à supprimer. =>   * Note vie scolaire  |   => suggestions : ['']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion de ces propres groupes |    => suggestions : ['']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Notation B2I |    => suggestions : ['']
130 Mot inconnu : B2I =>   * Notation B2I | b2i

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion d'examen blanc (Bac,Partiel,CAP,BEP,BTS,...)  |    => suggestions : ['']
131 Il manque un espace. =>   * Gestion d'examen blanc (Bac,Partiel,CAP,BEP,BTS,...)  | partiel => suggestions : [' Partiel']
131 Il manque un espace. =>   * Gestion d'examen blanc (Bac,Partiel,CAP,BEP,BTS,...)  | bep => suggestions : [' BEP']
131 Erreur de numérisation ? Virgules au lieu de points ? =>   * Gestion d'examen blanc (Bac,Partiel,CAP,BEP,BTS,...)  | ,... => suggestions : ['….']
131 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Gestion d'examen blanc (Bac,Partiel,CAP,BEP,BTS,...)  | ... => suggestions : ['…']
131 Espace(s) en fin de ligne à supprimer. =>   * Gestion d'examen blanc (Bac,Partiel,CAP,BEP,BTS,...)  |   => suggestions : ['']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Notation sur numerique ou alphabétique |    => suggestions : ['']
132 Mot inconnu : numerique =>   * Notation sur numerique ou alphabétique | numerique

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Agent Web interactif |    => suggestions : ['']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un MSN local à l'établissement scolaire (Intra-MSN) |    => suggestions : ['']
134 Mot inconnu : MSN =>   * Un MSN local à l'établissement scolaire (Intra-MSN) | msn
134 Mot inconnu : Intra-MSN =>   * Un MSN local à l'établissement scolaire (Intra-MSN) | intra-msn

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enregistrement des absences et retards via lecteur code barre  |    => suggestions : ['']
135 Espace(s) en fin de ligne à supprimer. =>   * Enregistrement des absences et retards via lecteur code barre  |   => suggestions : ['']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * E-Learning Dokeos / Moodle (Contenu de cours, de test, de suivi d'étudiant) |    => suggestions : ['']
