
6 Mot inconnu : Eee => ====== Asus Eee PC 1201 ====== | eee
72 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * 2 Go, | 2 go => suggestions : ['2\xa0Go']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 3 ~ 5 heures. |    => suggestions : ['']
73 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 3 ~ 5 heures. | 4400 mah => suggestions : ['4\xa0400\xa0mAh']
73 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 3 ~ 5 heures. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
73 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 3 ~ 5 heures. | 47 wh => suggestions : ['47\xa0Wh']
73 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 3 ~ 5 heures. | 5 heures => suggestions : ['5\xa0heures']

75 Si “PN” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => ==== Modèle 1201 PN ==== | 1201 pn => suggestions : ['1\xa0201\xa0PN']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur** : Intel® Atom™ N450 de 1,66 Ghz ; |    => suggestions : ['']
77 Mot inconnu : Atom =>   * **Processeur** : Intel® Atom™ N450 de 1,66 Ghz ; | atom
77 Mot inconnu : N450 =>   * **Processeur** : Intel® Atom™ N450 de 1,66 Ghz ; | n450
77 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * **Processeur** : Intel® Atom™ N450 de 1,66 Ghz ; | 1,66 ghz => suggestions : ['1,66\xa0Ghz']
77 Mot inconnu : Ghz =>   * **Processeur** : Intel® Atom™ N450 de 1,66 Ghz ; | ghz

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Mémoire :** (selon date de sortie) |    => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 1 Go, |      => suggestions : ['']
79 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * 1 Go, | 1 go => suggestions : ['1\xa0Go']

