
139 Mot inconnu : multiverse [[60:70]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

140 Mot inconnu : deb-src [[2:9]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb-src
140 Mot inconnu : xenial-updates [[44:58]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
140 Mot inconnu : universe [[59:67]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
140 Mot inconnu : multiverse [[68:78]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

141 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb-src
141 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
141 Mot inconnu : universe [[60:68]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
141 Mot inconnu : multiverse [[69:79]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

146 Mot inconnu : Backports [[12:21]] => ==== Dépôts Backports ==== <|> backports

150 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:20]] => == Serveurs Français == <|> français => suggestions : ['français']

152 Mot inconnu : deb [[0:3]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial-backports main restricted universe multiverse <|> deb
