
139 Mot inconnu : deb-src => # deb-src http://archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb-src
139 Mot inconnu : universe => # deb-src http://archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
139 Mot inconnu : multiverse => # deb-src http://archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

140 Mot inconnu : deb-src => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb-src
140 Mot inconnu : trusty-updates => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
140 Mot inconnu : universe => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
140 Mot inconnu : multiverse => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

141 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb-src
141 Mot inconnu : trusty-security => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
141 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
141 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

146 Mot inconnu : Backports => ==== Dépôts Backports ==== <|> backports

150 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Français == <|> français => suggestions : ['français']

152 Mot inconnu : deb => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb
152 Mot inconnu : trusty-backports => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
152 Mot inconnu : restricted => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
152 Mot inconnu : universe => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
152 Mot inconnu : multiverse => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

154 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

155 Mot inconnu : deb-src => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb-src
155 Mot inconnu : trusty-backports => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
155 Mot inconnu : restricted => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
155 Mot inconnu : universe => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
155 Mot inconnu : multiverse => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

158 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Belges == <|> belges => suggestions : ['belges']

160 Mot inconnu : deb => deb http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb
160 Mot inconnu : trusty-backports => deb http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
160 Mot inconnu : restricted => deb http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
160 Mot inconnu : universe => deb http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
160 Mot inconnu : multiverse => deb http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

162 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

163 Mot inconnu : deb-src => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> deb-src
163 Mot inconnu : trusty-backports => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> trusty-backports
163 Mot inconnu : restricted => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> restricted
163 Mot inconnu : universe => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> universe
163 Mot inconnu : multiverse => # deb-src http://be.archive.ubuntu.com/ubuntu/ trusty-backports main restricted universe multiverse <|> multiverse

166 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Suisses == <|> suisses => suggestions : ['suisses']

