
5 Mot inconnu : XVNC => ====== XVNC - Un Terminal Serveur X par Vnc ====== | xvnc
144 Mot inconnu : SYSLOG =>   log_type = SYSLOG authpriv  | syslog
144 Mot inconnu : authpriv =>   log_type = SYSLOG authpriv  | authpriv
144 Espace(s) en fin de ligne à supprimer. =>   log_type = SYSLOG authpriv  |   => suggestions : ['']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   log_on_success = HOST PID |    => suggestions : ['']
145 Mot inconnu : log_on_success =>   log_on_success = HOST PID | log_on_success
145 Mot inconnu : HOST =>   log_on_success = HOST PID | host
145 Mot inconnu : PID =>   log_on_success = HOST PID | pid

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   log_on_failure = HOST |    => suggestions : ['']
146 Mot inconnu : log_on_failure =>   log_on_failure = HOST | log_on_failure
146 Mot inconnu : HOST =>   log_on_failure = HOST | host

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cps = 25 30 |    => suggestions : ['']
147 Mot inconnu : cps =>   cps = 25 30 | cps

149 Mot inconnu : includedir => includedir /etc/xinetd.d | includedir

153 Mot inconnu : xinetd => Le [[http://linuxreviews.org/man/xinetd/|manuel xinetd]]. | xinetd

160 Mot inconnu : VNC => # VNC Servers | vnc
160 Mot inconnu : Servers => # VNC Servers | servers

162 Mot inconnu : vnc-640x480x8 => vnc-640x480x8 5950/tcp | vnc-640x480x8
162 Signe de multiplication typographique. => vnc-640x480x8 5950/tcp | 640x480 => suggestions : ['640\xa0×\xa0480']
162 Mot inconnu : tcp => vnc-640x480x8 5950/tcp | tcp

163 Mot inconnu : vnc-800x600x8 => vnc-800x600x8 5951/tcp | vnc-800x600x8
163 Signe de multiplication typographique. => vnc-800x600x8 5951/tcp | 800x600 => suggestions : ['800\xa0×\xa0600']
163 Mot inconnu : tcp => vnc-800x600x8 5951/tcp | tcp

