
97 Guillemets typographiques ouvrants. => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | " => suggestions : ['«\xa0', '“']
97 Mot inconnu : IR => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | ir
97 Mot inconnu : receiver => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | receiver
97 Mot inconnu : IC => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | ic
97 Mot inconnu : connected => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | connected
97 Mot inconnu : to => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | to
97 Mot inconnu : using => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | using
97 Mot inconnu : ALSA => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | alsa
97 Mot inconnu : EXPERIMENTAL => REMOTE="IR receiver IC connected to audio input using ALSA (EXPERIMENTAL)" | experimental

98 Mot inconnu : REMOTE_MODULES => REMOTE_MODULES="" | remote_modules

99 Mot inconnu : REMOTE_DRIVER => REMOTE_DRIVER="audio_alsa" | remote_driver
99 Guillemets typographiques ouvrants. => REMOTE_DRIVER="audio_alsa" | " => suggestions : ['«\xa0', '“']
99 Mot inconnu : audio_alsa => REMOTE_DRIVER="audio_alsa" | audio_alsa
99 Guillemets typographiques fermants. => REMOTE_DRIVER="audio_alsa" | " => suggestions : ['\xa0»', '”']

100 Mot inconnu : REMOTE_DEVICE => REMOTE_DEVICE="plughw@8000" | remote_device
100 Guillemets typographiques ouvrants. => REMOTE_DEVICE="plughw@8000" | " => suggestions : ['«\xa0', '“']
100 Mot inconnu : plughw => REMOTE_DEVICE="plughw@8000" | plughw
100 Guillemets typographiques fermants. => REMOTE_DEVICE="plughw@8000" | " => suggestions : ['\xa0»', '”']

101 Mot inconnu : REMOTE_SOCKET => REMOTE_SOCKET="" | remote_socket

102 Mot inconnu : REMOTE_LIRCD_CONF => REMOTE_LIRCD_CONF="lircd.conf" | remote_lircd_conf
102 Guillemets typographiques ouvrants. => REMOTE_LIRCD_CONF="lircd.conf" | " => suggestions : ['«\xa0', '“']
102 Mot inconnu : lircd => REMOTE_LIRCD_CONF="lircd.conf" | lircd
102 Il manque un espace. => REMOTE_LIRCD_CONF="lircd.conf" | conf => suggestions : [' conf']
