85 Mot inconnu : Mont-De-Marsan => | 40 - Mont-De-Marsan (base aérienne) | LFBM |
85 Mot inconnu : LFBM => | 40 - Mont-De-Marsan (base aérienne) | LFBM |

86 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 41 - Romorantin Pruniers-en-Sologne | LFYR |
86 Mot inconnu : Romorantin => | 41 - Romorantin Pruniers-en-Sologne | LFYR |
86 Mot inconnu : LFYR => | 41 - Romorantin Pruniers-en-Sologne | LFYR |

87 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 42 - Saint Etienne Boutheon | LFMH |
87 Mot inconnu : Etienne => | 42 - Saint Etienne Boutheon | LFMH |
87 Mot inconnu : Boutheon => | 42 - Saint Etienne Boutheon | LFMH |
87 Mot inconnu : LFMH => | 42 - Saint Etienne Boutheon | LFMH |

88 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 43 - Le Puy Loudes | LFHP |
88 Mot inconnu : Loudes => | 43 - Le Puy Loudes | LFHP |
88 Mot inconnu : LFHP => | 43 - Le Puy Loudes | LFHP |

89 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 44 - Saint-Nazaire Montoir | LFRZ |
89 Mot inconnu : LFRZ => | 44 - Saint-Nazaire Montoir | LFRZ |

90 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 45 - Orleans Bricy | LFOJ |
90 Mot inconnu : Orleans => | 45 - Orleans Bricy | LFOJ |
90 Mot inconnu : Bricy => | 45 - Orleans Bricy | LFOJ |
90 Mot inconnu : LFOJ => | 45 - Orleans Bricy | LFOJ |

